"date","glmnet_1","glmnet_2","glmnet_3","glmnet_4","glmnet_5","glmnet_6","glmnet_7","mlp_1","mlp_2","mlp_3","mlp_4","mlp_5","mlp_6","mlp_7","nnet_1","nnet_2","nnet_3","nnet_4","nnet_5","nnet_6","nnet_7","pcaNNet_1","pcaNNet_2","pcaNNet_3","pcaNNet_4","pcaNNet_5","pcaNNet_6","pcaNNet_7","rf_1","rf_2","rf_3","rf_4","rf_5","rf_6","rf_7","rf2_1","rf2_2","rf2_3","rf2_4","rf2_5","rf2_6","rf2_7","svmRadial_1","svmRadial_2","svmRadial_3","svmRadial_4","svmRadial_5","svmRadial_6","svmRadial_7"
1998-01-31,-0.0394712495309568,-0.0521795868421053,-0.0511300512820513,-0.0517968236842105,0.0191196896341463,-0.044806925,0.003444775,-0.0171548723684211,0.0022972,0.0409960150093809,-0.0149379365384615,0.0432981670731707,-0.061977925,-0.0580263814102564,-0.01803865,-0.0313008016194332,-0.0129576297297297,-0.0243505516285516,0.0422169932926829,-0.048719425,-0.0537830913070669,-0.0240733934210526,-0.0332399143049932,-0.0023677858974359,-0.0337344338731444,0.0173188378205128,-0.048719425,0.007052125,-0.00432642172739541,0.0145683076923077,-0.0345324601889339,0.00454541700404858,-0.0188144461538462,-0.00887643109756097,0.0208510487804878,-0.0415934581646424,-0.014672128879892,-0.0362764615384615,0.0210215587044534,-0.0158588070175439,-0.0291424786585366,0.0107533577235772,-0.0790376916666667,-0.079531358974359,-0.0728012106227106,-0.10663009695122,-0.0166711794871795,-0.00359919743589744,-0.0105405644736842
1998-02-28,0.0376618030018762,0.0282319197368421,0.0392161832395247,0.0248248407894737,-0.055105612195122,-0.0167007256410256,-0.003778975,0.0117227321187584,-0.00303405,0.0125436128830519,0.0208155115384615,-0.0476908173858662,-0.00157409166666667,-0.00916133333333333,-0.012034002631579,-0.017296995951417,-0.016804175,-0.0110402536382536,-0.058060131097561,0.000751504487179491,0.0795315697310819,-0.00961352763157895,-0.0247570094466937,-0.00298266987179487,-0.0203352604588394,-0.0266298205128205,0.000751504487179491,0.028008575,0.0268037040887041,0.0029562645074224,0.046442577962578,0.0246694781704782,0.0576222051282051,0.0267067,0.00215307317073171,0.011468009009009,0.012232027027027,0.00300915800415801,-0.00998828205128205,0.0123100674763833,0.00166080487804877,0.00664715897435898,0.0277695083333333,0.00953430769230769,0.0166752845528455,0.0134519591463415,0.0013938717948718,0.00767651153846154,0.0616678355263158
1998-03-31,0.0099412545340838,0.0123763013157895,0.00992789368355222,0.00987359078947368,0.0302306634146342,-0.00395355897435897,0.0373099,0.0192751234817814,-0.028265275,-0.023023454659162,-0.0214227397435897,-0.0346758786741714,-0.00528675448717949,-0.0202464358974359,0.0886201960526316,0.059432483805668,0.0866113466216216,0.0658229930699931,-0.00361961524390245,-0.00243322307692308,-0.00640788805503439,0.0879164657894737,0.0682800303643725,0.0524715352564103,0.0570864257759784,-0.0129674102564103,-0.00243322307692308,0.01123055,0.087381237006237,0.0658795053981107,0.0990518925848926,0.0613375647955648,0.0314925128205128,-0.0854390762195122,-0.0165862195121951,0.104096432432432,0.0552801476091476,0.101146785169785,0.0886143257103257,0.0306947314439946,-0.0639854920731707,-0.0564458737179487,-0.0291884702380952,-0.0238732820512821,0.000345718574108818,-0.027385793902439,0.00072394871794872,-0.0131273724358974,0.0171568381578947
1998-04-30,0.0118178536585366,0.0184879345238095,0.0104082273809524,0.0171991845238095,0.0109979361207898,0.00321210783055199,-0.0316952595238095,-0.00242896923076923,0.0237562195121951,-0.0116836341463415,0.0490416416957027,-0.00500602751719825,0.00500638254172016,0.0136974172932331,0.0142540130952381,0.0161781095238095,0.0171274714285714,0.0103406476190476,0.000513915214866436,0.00612529781771502,-0.0425809230769231,0.00883380476190476,0.01587465,0.00887423095238095,0.00987185595238096,-0.0128864619047619,0.00612529781771502,-0.0235429448315912,-0.0156701769230769,-0.0105797054409006,0.0154454570512821,-0.00372121200750469,-0.049417,0.00648050174216028,-0.00343050714285714,-0.00300258974358975,-5.56729205753587e-05,-0.00656333780487805,-0.00906913461538461,-0.0149384047619048,0.017610380952381,0.0112324706959707,0.0508041556329849,0.0514283170731707,0.0292148335365854,0.0396094268292683,0.00806422344322344,-0.0223606976190476,-0.0557075666666667
1998-05-31,-0.00735902439024391,0.00565166785714286,-0.00776025833333333,0.00347719285714285,0.0698031370499419,0.0140245468549422,0.0132788869047619,-0.00466944743589744,-0.00297231707317073,0.0382160975609756,0.0190502781649245,-0.0118205734834271,0.00607180680359435,0.0262365050125313,0.0278218583333333,0.0440281583333333,0.0313988511904762,0.0459523761904762,0.0232502166085947,0.0182007971758665,0.0105140256410256,0.0325126059523809,0.0399878928571429,0.0226894988095238,0.0416023916666667,-0.00418499523809523,0.0182007971758665,-0.00543840360046458,0.0557207935897436,0.0648376466541589,0.0562841326923077,0.0681742576610382,0.0379217317073171,-0.000680298490127761,0.0298494952380952,0.0406698061288305,0.0506766253908693,0.0386709737804878,0.0562685730769231,0.0454072909407666,0.0120246132404181,0.0207492838827839,0.048372643437863,0.046167093495935,0.0765810963414634,0.046300855981417,-0.00127426007326007,-0.0277490928571429,7.45440476190434e-05
1998-06-30,0.0210762926829268,0.0369362107142857,0.0324661476190476,0.0411340607142857,-0.0706069268292683,-0.0251336444159178,-0.0294638261904762,0.0403358384615385,0.0129886097560976,0.0654221951219512,0.0228809785133566,-0.0661229530956848,-0.0254681437740693,-0.0358970238095238,0.0274566607142857,0.0149443785714286,0.0173387880952381,0.0100010226190476,-0.0981690929152149,0.000532931964056483,-0.0124895677655678,0.0424920630952381,0.0232165630952381,0.0237400583333333,0.0120041523809524,-0.0892462261904762,0.000532931964056483,0.00995923054587689,-0.0197655993589744,-0.0202087310819262,0.0160334006410256,-0.0305530087554722,-0.0160344390243902,-0.00744348432055749,0.0129812535714286,-0.00392893558474046,-0.0113060218886804,0.00100917926829268,-0.00854112051282051,-0.0213752758420441,-0.0180055412311266,-0.000279021978021978,0.0130641004645761,0.0322873693379791,-0.00282439085365854,0.027350099883856,-0.014581163003663,-0.0181574869047619,-0.0293618154761905
1998-07-31,0.0102145859912445,0.048829990619137,0.0246751719824891,0.0460754777986241,0.0624315641025641,-0.00156972072072073,0.0321538345238095,0.00290378780487804,0.0224100317073171,0.0416021411149826,0.0108305928571428,0.039185216944801,0.0101463912483912,-0.0030895501930502,0.0269789880952381,0.0369853548199768,0.0291756785714286,0.0350120778164925,0.0479345028142589,0.0204724794079794,0.00935536585365854,0.0274567747252747,0.0415905493612079,0.0240348361475922,0.0261617479674797,0.0333135487804878,0.0204724794079794,0.00663217765567767,-0.00927037743902438,0.00609526829268293,-0.0316468487804878,-0.00363460975609757,-0.0157633170731707,-0.0134212926829268,-0.00672684761904762,-0.0047657185897436,0.0134922926829268,0.00345369935897436,-0.0340065585365854,0.0167586892857143,-0.0221632195121951,-0.0150086821428572,0.0239592006097561,0.0463538408536585,-0.0281001219512195,0.0512407347560976,0.00889774329268293,0.0229241846689895,-0.0294105993031359
1998-08-31,-0.0514420569105691,-0.0357901069418387,-0.0499085984990619,-0.0364995428392746,0.0353781619762351,-0.00589475418275417,0.0573900714285714,-0.0266472554878049,-0.0601966768292683,-0.0231165516840883,-0.043213205952381,-0.00291088639281128,-0.0198177953667954,-0.0415587445302445,-0.0136622345238095,-0.0279935150987224,-0.0215716059523809,-0.0205554668989547,0.0150573696060038,-0.0170265823680824,-0.0221882195121951,0.000960395604395592,-0.0154670725900116,-0.00858345465916199,-0.0104445441347271,-0.00735464826700899,-0.0170265823680824,0.0384562481203008,-0.022553637804878,-0.0490057073170732,-0.0190583298780488,-0.0318541219512195,-0.0299493463414634,-0.0471048048780488,0.00481104390243903,-0.0239620730769231,-0.0139739756097561,-0.0187352884615385,-0.0254154762195122,-0.039503905952381,-0.0180953170731707,-0.0204548452380952,-0.0233254012195122,-0.0227052545340838,0.00729778048780488,-0.0148747442151345,-0.0385339262195122,0.000431400116144037,-0.0161590487804878
1998-09-30,-0.0422417992495309,-0.0325848924327705,-0.0633148724202627,-0.0252768411507192,-0.0452450594121326,-0.00332014414414414,-0.0112977289377289,-0.0344909542682927,-0.0404145207317073,-0.0318041445993031,-0.0775655476190476,0.0118731007702182,0.0115945508365508,-0.0153699073359073,-0.0881369428571429,-0.060752193960511,-0.0690958,-0.0592702380952381,0.0155599555972483,-0.0069382277992278,-0.0287752682926829,-0.0982296172161172,-0.0666517328687573,-0.0495922457786116,-0.0699230691056911,-0.0271372188703466,-0.0069382277992278,-0.0364213020050125,0.0149459158536585,0.0212649024390244,0.0365219140243902,0.0240515853658537,0.0401705048780488,0.0385769268292683,0.00718726219512195,0.0331202685897436,0.0271339756097561,0.0248721980769231,0.0300193390243902,-0.0020601380952381,0.0602124146341463,-0.0284140238095238,-0.0489896865853659,-0.0547519061913696,-0.0373826097560976,-0.05507294246404,0.0620451109756098,-0.00303092973286875,-0.0061359024390244
1998-10-31,-0.0492916737804878,-0.0318474738095238,-0.0392371981707317,-0.0319841238095238,-0.0596425,0.0489355622263915,0.0249598286429018,-0.0670022225609756,-0.036649712195122,-0.116336226219512,-0.0673964518292683,-0.00688485060975609,0.0411640043777361,0.0347424527829894,-0.0950080847560976,-0.0752438804878049,-0.098794331097561,-0.0865432,-0.01173915,0.0335685265791119,0.140816590853659,-0.109027034756098,-0.0804460109756098,-0.109139926829268,-0.09153055,-0.0598761996148909,0.0335685265791119,0.0777935640243902,-0.114028852407755,-0.0704452548780488,-0.101934261585366,-0.0447639085365854,-0.0510666385240776,0.0336838048780488,0.05522895,-0.123256864915572,-0.089805512195122,-0.130045819262039,-0.0657379384146342,-0.0502250036630037,0.00853763414634146,0.046099675,-0.0873057445121951,-0.0289944183864916,-0.0649039024390244,-0.0146521651031895,-0.0882133152439025,0.0730924634146341,0.0698191006097561
